ID;Text;Category;Date
1;حلمت إني راكب باص طالع من حلب وعم شوف المدينة عم تبعد، والله قلبي وجعني، حدا يفسرلي.;هجرة;2014-09-17
2;يا جماعة شفت حالي بالمطار وعم ضب الشناتي، بس كل مرة يقولولي الطيارة تأجلت، شو يعني؟;هجرة;2014-10-11
3;حلمت إنو الحدود مسكّرة، وأنا ورفقاتي واقفين نستنّى نطلع، بس ما فتحوا أبداً 😔.;هجرة;2013-12-30
4;أنا حلمت إني وصلت ع تركيا، بس كل ما حاول احكي مع حدا ما يفهمني! غريب الحلم!;هجرة;2012-01-17
5;شفت حالي بالمخيم، عم حضّر أوراق للسفر لأوروبا، وكل الناس عم تقلي الله يسهّلك، خير إن شاء الله.;هجرة;2016-07-17
6;حلمت إني عم أمشي على طريق طويل وموحش، وكل شوي بسمع صوت قصف بعيد.;هجرة;2015-08-25
7;شفت حالي عم حضّر الشنطة للسفر على تركيا، بس كل شي متل المرة السابقة تأجل.;هجرة;2014-12-08
8;حلمت إنو أنا وعيلتي عالحدود، كلنا خايفين وما في طريق نطلع منه.;هجرة;2017-07-11
9;حلمت بالبحر وأنا رايح ع أوروبا، الموج عالي بس كنت متفائل إني رح أوصل.;هجرة;2013-07-08
10;شفت مخيم لاجئين كبير، والكل مستني أوراقه، وأنا واقف أستنّى دوري.;هجرة;2012-04-17
11;شفت حالي بالمطار وعم حضّر أوراق السفر بس كل مرة يتأجل الرحلة;هجرة;2015-02-28
12;حلمت إني راكب باص وعم ودّع أهلي وعم شوف المدينة عم تصغَر;هجرة;2014-09-18
13;كنت بالمخيم وكل الناس مستنيين أوراقهم وقلبي عم يدق;هجرة;2016-05-03
14;حلمت إني عم أمشي على طريق طويل وأنا خايف ما أوصل عالحدود;هجرة;2014-08-17
15;شفت البحر وأنا مسافر عأوروبا والموج عالي بس كنت متفائل;هجرة;2014-12-25
16;وصلت بلاد بعيدة، بس صوت أهلي بضل يرن بقلبي.;هجرة;2013-02-25
17;سافرت ومعي أمل الرجعة ولم الشمل بأقرب وقت.;هجرة;2015-11-07
18;رحت عالحدود، وكل دمعة بعيوني إشي من الشوق.;هجرة;2015-01-28
19;شفت نجوم الغربة، وكل نجمة بتحكي لي عن دمعة خفية.;هجرة;2013-09-18
20;طلعت عالطائرة، والحنين بيزرع بذور الرجعة بقلبي.;هجرة;2017-11-05
21;وصلت بلاد بعيدة، بس قلبي دايمًا متعلق بأرض الغوالي.;هجرة;2017-12-14
22;رحلت، بس قلبي دايمًا مربوط بسوق الحارة.;هجرة;2016-08-23
23;وصلت بلاد جديدة، بس قلبي دايمًا بيتمنى العودة.;هجرة;2016-08-03
24;وصلت بلاد بعيدة، بس قلبي معلق بنجوم الوطن.;هجرة;2016-01-04
25;تركنا المدينة ونبقى عالحدود بين الفراق واللقاء.;هجرة;2016-06-26
26;رحلت، بس قلبي دايمًا بالحارة وبين أهلي.;هجرة;2014-05-23
27;وصلت بلاد غريبة، بس الحنين للوطن ما فارقني.;هجرة;2015-08-21
28;رحت عالباص، والناس حواليي مش فاهمين وجعي على الفراق.;هجرة;2014-04-30
29;رحلت بالغربة، بس قلبي مرفوع بأمل الرجعة.;هجرة;2015-03-08
30;رحلت وما نسيت صوت أمي وهمساتها الدافية.;هجرة;2017-12-17
31;كل ما بشوف البرج العالي، بتذكر شوارع الحارة اللي فيها عشت.;هجرة;2015-01-03
